bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
ABHYUDAYA CO-OP BANK,2020-01-01,2020,1,January,111135,4518.96,236440,8525.86,347575,13044.82,0.04066189769199622,0.036059296227372695,4006.9000000000005
ABU DHABI COMMERCIAL BANK,2020-01-01,2020,1,January,186,39.37,122,3.36,308,42.73,0.21166666666666664,0.027540983606557375,-36.01
AHMEDABAD MERCANTILE CO-OP BANK,2020-01-01,2020,1,January,21577,1872.91,37394,2612.22,58971,4485.13,0.08680122352504982,0.06985666149649676,739.3099999999997
AHMEDNAGAR MERCHANTS CO-OP BANK,2020-01-01,2020,1,January,11603,772.98,10609,1123.24,22212,1896.22,0.06661897785055589,0.10587614289753983,350.26
AIRTEL PAYMENTS BANK,2020-01-01,2020,1,January,347880,33399.21,201304,7933.31,549184,41332.52,0.09600784753363228,0.03940959941183484,-25465.899999999998
AKOLA DIST CENTRAL CO-OP BANK,2020-01-01,2020,1,January,19530,1172.85,69310,2213.81,88840,3386.66,0.06005376344086021,0.03194070119751839,1040.96
AKOLA JANATA COMMERCIAL CO-OP BANK,2020-01-01,2020,1,January,17725,1155.08,16339,1688.26,34064,2843.34,0.06516671368124118,0.10332700899687863,533.1800000000001
ALLAHABAD BANK,2020-01-01,2020,1,January,1361972,105770.43,4243469,166700.52,5605441,272470.94999999995,0.07765976833591293,0.03928401974893654,60930.09
ALMORA URBAN CO-OP BANK,2020-01-01,2020,1,January,15407,555.98,26547,900.28,41954,1456.26,0.0360861945868761,0.03391268316570611,344.29999999999995
AMBARNATH JAI HIND CO-OP BANK,2020-01-01,2020,1,January,2462,174.14,9064,219.34,11526,393.48,0.07073111291632818,0.024199029126213592,45.20000000000002
ANDHRA BANK,2020-01-01,2020,1,January,1261438,132579.14,5332479,225715.67,6593917,358294.81000000006,0.10510159040713853,0.04232846861656652,93136.53
ANDHRA PRADESH GRAMEEN VIKAS BANK,2020-01-01,2020,1,January,77589,6018.53,1054555,25514.84,1132144,31533.37,0.07756937194705435,0.024194887891100986,19496.31
ANDHRA PRAGATHI GRAMEENA BANK,2020-01-01,2020,1,January,62704,3765.26,606422,9563.48,669126,13328.74,0.0600481627966318,0.015770338147362728,5798.219999999999
ANZ BANKING GROUP,2020-01-01,2020,1,January,35717,13280.26,9626,9221.96,45343,22502.22,0.37181902175434667,0.9580261790982754,-4058.300000000001
APANA SAHAKARI BANK,2020-01-01,2020,1,January,20850,1327.98,78494,2784.65,99344,4112.63,0.06369208633093525,0.03547595994598313,1456.67
AU SMALL FINANCE BANK,2020-01-01,2020,1,January,222967,23910.58,191471,25734.64,414438,49645.22,0.10723820116878283,0.13440489682510667,1824.0599999999977
AXIS BANK,2020-01-01,2020,1,January,21427979,1180686.45,11219097,1135947.65,32647076,2316634.0999999996,0.05510022433753552,0.10125125489154786,-44738.80000000005
BANK N PARIBAS,2020-01-01,2020,1,January,350770,99674.25,155193,152723.71,505963,252397.96,0.2841584228981954,0.9840889086492303,53049.45999999999
BANDHAN BANK,2020-01-01,2020,1,January,484210,26094.95,551891,31562.19,1036101,57657.14,0.053891803143264284,0.057189173224422934,5467.239999999998
BANK INTERNASIONAL INDONESIA,2020-01-01,2020,1,January,1497,172.37,50,12.9,1547,185.27,0.1151436205744823,0.258,-159.47
BANK OF AMERICA,2020-01-01,2020,1,January,660146,139291.17,120499,103427.26,780645,242718.43,0.2110005513931767,0.8583246333994472,-35863.91000000002
BANK OF BAHARIEN AND KUWAIT,2020-01-01,2020,1,January,15880,3622.34,2657,2518.25,18537,6140.59,0.22810705289672545,0.9477794505080919,-1104.0900000000001
BANK OF BARODA,2020-01-01,2020,1,January,4132563,387232.22,13447966,545377.51,17580529,932609.73,0.09370267797490323,0.040554646702705824,158145.29000000004
BANK OF CEYLON,2020-01-01,2020,1,January,2032,88.77,515,223.52,2547,312.29,0.043686023622047244,0.4340194174757282,134.75
BANK OF INDIA,2020-01-01,2020,1,January,2536157,137488.8,10237116,420838.69,12773273,558327.49,0.054211470346670176,0.04110910631470817,283349.89
BANK OF MAHARASHTRA,2020-01-01,2020,1,January,1239232,83791.11,3359184,143657.1,4598416,227448.21000000002,0.0676153537029386,0.04276547518683109,59865.990000000005
BANK OF NOVA SCOTIA,2020-01-01,2020,1,January,636,1475.62,474,2181.33,1110,3656.95,2.3201572327044024,4.601962025316456,705.71
BANK OF TOKYO AND MITSUBISHI,2020-01-01,2020,1,January,69683,22436.9,10278,23181.32,79961,45618.22,0.321985276179269,2.2554310177077252,744.4199999999983
BARCLAYS BANK,2020-01-01,2020,1,January,68160,18344.66,10122,22128.15,78282,40472.81,0.2691411384976526,2.1861440426793126,3783.4900000000016
BASSEIN CATHOLIC CO-OP BANK,2020-01-01,2020,1,January,41398,3206.78,80501,3753.12,121899,6959.9,0.07746219624136433,0.046622029540005716,546.3399999999997
BHAGINI NIVEDITA SAHAKARI BANK,2020-01-01,2020,1,January,3825,112.11,6571,162.91,10396,275.02,0.029309803921568626,0.024792269061025718,50.8
BHARAT CO-OP BANK,2020-01-01,2020,1,January,97291,6564.98,197455,10172.39,294746,16737.37,0.0674777728669661,0.05151751031880682,3607.41
CANARA BANK,2020-01-01,2020,1,January,3287947,278743.09,7489778,472882.42,10777725,751625.51,0.0847772454969621,0.06313704091095891,194139.32999999996
CAPITAL SMALL FINANCE BANK,2020-01-01,2020,1,January,41074,2667.75,53049,3925.6,94123,6593.35,0.06494984661829868,0.07399950988708552,1257.85
CATHOLIC SYRIAN BANK,2020-01-01,2020,1,January,200119,9148.08,214782,10103.17,414901,19251.25,0.045713200645615855,0.047039183916715556,955.0900000000001
CENTRAL BANK OF INDIA,2020-01-01,2020,1,January,2235446,167462.74,6906401,234624.72,9141847,402087.45999999996,0.07491245147500766,0.0339720673618575,67161.98000000001
CITI BANK,2020-01-01,2020,1,January,8280146,1073520.2,3094990,799646.91,11375136,1873167.1099999999,0.12964991197015124,0.2583681724335135,-273873.2899999999
CITIZEN CREDIT CO-OP BANK,2020-01-01,2020,1,January,13638,811.99,32001,1627.85,45639,2439.84,0.05953878867869189,0.05086872285241086,815.8599999999999
CITY UNION BANK,2020-01-01,2020,1,January,1137216,53910.32,772004,52722.34,1909220,106632.66,0.0474055236648095,0.06829283267962341,-1187.9800000000032
CORP BANK,2020-01-01,2020,1,January,2816021,104371.31,3163917,186336.01,5979938,290707.32,0.03706339903004985,0.0588940891938695,81964.70000000001
COSMOS CO-OP BANK,2020-01-01,2020,1,January,132943,15248.63,237166,16797.3,370109,32045.93,0.11470051074520658,0.07082507610703051,1548.67
CREDIT AGRICOLE CORP AND INVESTMENT BANK,2020-01-01,2020,1,January,11706,12293.92,1059,19271.77,12765,31565.690000000002,1.0502238168460618,18.198083097261566,6977.85
CREDIT SUISSE AG,2020-01-01,2020,1,January,37,264.2,41,4273.58,78,4537.78,7.14054054054054,104.23365853658537,4009.38
CTBC BANK CO-OP,2020-01-01,2020,1,January,1193,693.24,693,2079.6,1886,2772.84,0.5810896898575021,3.000865800865801,1386.36
