bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow,mom_amount_growth_pct,yoy_amount_growth_pct,rolling_3m_avg_amount,market_share_pct,overall_bank_rank,debit_credit_txn_ratio,debit_credit_amount_ratio
A P MAHESH URBAN CO-OP BANK,2012-02-01,2012,2,February,144,26.294,85,9.935,229,36.229,0.1825972222222222,0.1168823529411764,-16.359,,,36.23,0.001,100,1.694,2.647
A P MAHESH URBAN CO-OP BANK,2012-03-01,2012,3,March,98,58.422,531,65.358,629,123.78,0.5961428571428571,0.1230847457627118,6.936000000000007,241.66,,80.0,0.0026,100,0.185,0.894
A P MAHESH URBAN CO-OP BANK,2012-04-01,2012,4,April,510,41.856,447,39.463,957,81.319,0.0820705882352941,0.0882841163310962,-2.3930000000000007,-34.3,,80.44,0.0021,100,1.141,1.061
A P MAHESH URBAN CO-OP BANK,2012-05-01,2012,5,May,1927,141.996,738,66.815,2665,208.811,0.0736875973015049,0.0905352303523035,-75.18100000000001,156.78,,137.97,0.0052,100,2.611,2.125
A P MAHESH URBAN CO-OP BANK,2012-06-01,2012,6,June,1961,120.764,828,82.814,2789,203.578,0.0615828658847526,0.1000169082125603,-37.95,-2.51,,164.57,0.0049,100,2.368,1.458
A P MAHESH URBAN CO-OP BANK,2012-07-01,2012,7,July,2078,132.538,1010,93.652,3088,226.19,0.063781520692974,0.0927247524752475,-38.88600000000001,11.11,,212.86,0.0054,100,2.057,1.415
A P MAHESH URBAN CO-OP BANK,2012-08-01,2012,8,August,2059,160.117,1055,80.166,3114,240.283,0.0777644487615347,0.0759867298578199,-79.951,6.23,,223.35,0.0057,100,1.952,1.997
A P MAHESH URBAN CO-OP BANK,2012-09-01,2012,9,September,1976,119.426,1106,82.748,3082,202.174,0.0604382591093117,0.0748173598553345,-36.678,-15.86,,222.88,0.0044,100,1.787,1.443
A P MAHESH URBAN CO-OP BANK,2012-10-01,2012,10,October,2303,175.972,1469,117.149,3772,293.121,0.0764099001302648,0.0797474472430224,-58.82300000000001,44.98,,245.19,0.0058,100,1.568,1.502
A P MAHESH URBAN CO-OP BANK,2012-11-01,2012,11,November,2211,157.4,1538,114.971,3749,272.371,0.0711895070104025,0.0747535760728218,-42.429,-7.08,,255.89,0.0059,100,1.438,1.369
