bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
ABHYUDAYA CO-OP BANK,111135,4518.960,236440,8525.860,January 2020
ABU DHABI COMMERCIAL BANK,186,39.370,122,3.360,January 2020
AHMEDABAD MERCANTILE CO-OP BANK,21577,1872.910,37394,2612.220,January 2020
AHMEDNAGAR MERCHANTS CO-OP BANK,11603,772.980,10609,1123.240,January 2020
AIRTEL PAYMENTS BANK,347880,33399.210,201304,7933.310,January 2020
AKOLA DIST CENTRAL CO-OP BANK,19530,1172.850,69310,2213.810,January 2020
AKOLA JANATA COMMERCIAL CO-OP BANK,17725,1155.080,16339,1688.260,January 2020
ALLAHABAD BANK,1361972,105770.430,4243469,166700.520,January 2020
ALMORA URBAN CO-OP BANK,15407,555.980,26547,900.280,January 2020
AMBARNATH JAI HIND CO-OP BANK,2462,174.140,9064,219.340,January 2020
ANDHRA BANK,1261438,132579.140,5332479,225715.670,January 2020
ANDHRA PRADESH GRAMEEN VIKAS BANK,77589,6018.530,1054555,25514.840,January 2020
ANDHRA PRAGATHI GRAMEENA BANK,62704,3765.260,606422,9563.480,January 2020
ANZ BANKING GROUP,35717,13280.260,9626,9221.960,January 2020
APANA SAHAKARI BANK,20850,1327.980,78494,2784.650,January 2020
AU SMALL FINANCE BANK,222967,23910.580,191471,25734.640,January 2020
AXIS BANK,21427979,1180686.450,11219097,1135947.650,January 2020
BANK N PARIBAS,350770,99674.250,155193,152723.710,January 2020
BANDHAN BANK,484210,26094.950,551891,31562.190,January 2020
BANK INTERNASIONAL INDONESIA,1497,172.370,50,12.900,January 2020
BANK OF AMERICA,660146,139291.170,120499,103427.260,January 2020
BANK OF BAHARIEN AND KUWAIT,15880,3622.340,2657,2518.250,January 2020
BANK OF BARODA,4132563,387232.220,13447966,545377.510,January 2020
BANK OF CEYLON,2032,88.770,515,223.520,January 2020
BANK OF INDIA,2536157,137488.800,10237116,420838.690,January 2020
BANK OF MAHARASHTRA,1239232,83791.110,3359184,143657.100,January 2020
BANK OF NOVA SCOTIA,636,1475.620,474,2181.330,January 2020
BANK OF TOKYO AND MITSUBISHI,69683,22436.900,10278,23181.320,January 2020
BARCLAYS BANK,68160,18344.660,10122,22128.150,January 2020
BASSEIN CATHOLIC CO-OP BANK,41398,3206.780,80501,3753.120,January 2020
BHAGINI NIVEDITA SAHAKARI BANK,3825,112.110,6571,162.910,January 2020
BHARAT CO-OP BANK,97291,6564.980,197455,10172.390,January 2020
CANARA BANK,3287947,278743.090,7489778,472882.420,January 2020
CAPITAL SMALL FINANCE BANK,41074,2667.750,53049,3925.600,January 2020
CATHOLIC SYRIAN BANK,200119,9148.080,214782,10103.170,January 2020
CENTRAL BANK OF INDIA,2235446,167462.740,6906401,234624.720,January 2020
CITI BANK,8280146,1073520.200,3094990,799646.910,January 2020
CITIZEN CREDIT CO-OP BANK,13638,811.990,32001,1627.850,January 2020
CITY UNION BANK,1137216,53910.320,772004,52722.340,January 2020
CORP BANK,2816021,104371.310,3163917,186336.010,January 2020
COSMOS CO-OP BANK,132943,15248.630,237166,16797.300,January 2020
CREDIT AGRICOLE CORP AND INVESTMENT BANK,11706,12293.920,1059,19271.770,January 2020
CREDIT SUISSE AG,37,264.200,41,4273.580,January 2020
CTBC BANK CO-OP,1193,693.240,693,2079.600,January 2020
DCB BANK,297563,20717.860,447464,31006.170,January 2020
DELHI STATE CO-OP OP BANK,2185,133.330,8224,369.530,January 2020
DENA BANK,533172,37482.390,1993104,68780.410,January 2020
DEOGIRI NAGARI SAHAKARI BANK,5760,670.670,14714,732.710,January 2020
DEUTSCHE BANK,2491478,401520.140,465952,264305.740,January 2020
DEVELOPMENT BANK OF SINGAPORE,561421,105489.460,199150,46247.160,January 2020
DHANLAXMI BANK,159890,6012.860,183124,9145.110,January 2020
DICGC BANK,98,27.100,47,12.730,January 2020
DMK JAOLI BANK,4319,333.040,13524,424.560,January 2020
DOHA BANK QSC,30728,3678.750,1231,250.830,January 2020
DOMBIVLI NAGRIK SAHAKARI BANK,26979,1703.700,71140,2547.390,January 2020
DURGAPUR STEEL PEOPLES CO-OP BANK,1804,50.720,5770,305.350,January 2020
EMIRATES NBD BANK PJSC,2861,580.060,189,404.070,January 2020
EQUITAS SMALL FINANCE BANK,231153,11628.300,81489,5031.990,January 2020
ESAF SMALL FINANCE BANK,33521,1782.880,39069,2164.380,January 2020
EXPORT IMPORT BANK OF INDIA,0,0.000,185,610.630,January 2020
FEDERAL BANK,2679707,154495.360,2181696,119769.370,January 2020
FINCARE SMALL FINANCE BANK,14190,703.030,15142,1660.790,January 2020
FINO PAYMENTS BANK,687494,9949.850,145034,4734.140,January 2020
FIRSTRAND BANK,198,82.140,50,366.280,January 2020
GOPINATH PATIL PARSIK JAN SAHA BANK,37651,3084.160,97998,4196.950,January 2020
GREATER BOMBAY CO-OP BANK,9149,384.020,40349,1167.950,January 2020
HDFC BANK,33874914,3033891.000,19379006,2790597.280,January 2020
HIMACHAL PRADESH STATE CO-OP,64272,1732.030,69765,2587.070,January 2020
HSBC BANK,2306098,522707.450,921903,430562.930,January 2020
ICICI BANK,21930572,1339601.350,15882318,1598499.210,January 2020
IDBI BANK,6521800,398676.710,4661645,394829.640,January 2020
IDFC BANK,919042,89972.350,654375,106875.610,January 2020
IDUKKI DIST CO-OP BANK,6012,673.150,4588,427.680,January 2020
INDIA POST PAYMENTS BANK,201757,5692.640,107307,1922.330,January 2020
INDIAN BANK,1400789,97421.010,5108516,226859.070,January 2020
INDIAN OVERSEAS BANK,1709528,104387.110,4040315,164855.330,January 2020
INDUSIND BANK,3873219,326458.610,2018865,258152.530,January 2020
INDUSTRIAL AND CO-OP BANK OF CHINA,834,2054.360,119,2714.140,January 2020
INDUSTRIAL BANK OF KOREA,1718,773.540,251,1339.170,January 2020
IRINJALAKUDA TOWN CO-OP BANK,1375,59.270,935,58.530,January 2020
JALGAON JANATA SAHKARI BANK,13584,638.110,22282,1615.400,January 2020
JALGAON PEOPLES CO-OP BANK,7676,849.760,30435,1225.020,January 2020
JAMMU AND KASHMIR BANK,472178,42311.250,471985,31697.120,January 2020
JANA SMALL FINANCE BANK,56984,4285.690,18938,3437.460,January 2020
JANAKALYAN SAHAKARI BANK,18260,1316.140,40341,1796.610,January 2020
JANATA SAHAKARI BANK,83679,5223.560,107369,6412.640,January 2020
JANSEVA SAHAKARI BANK BORIVILI,5782,250.890,9459,397.480,January 2020
JANSEVA SAHAKARI BANK PUNE,10757,783.150,40912,1266.520,January 2020
JIO PAYMENTS BANK,2451,18.250,2579,2.550,January 2020
JP MORGAN BANK,440299,63731.820,17262,59339.790,January 2020
KALLAPPANNA AWADE IJSB,20782,1037.390,24922,1667.760,January 2020
KALUPUR COMM CO-OP BANK,68485,5839.010,106580,8777.240,January 2020
KALYAN JANATA SAHAKARI BANK,15496,1316.450,51314,1974.290,January 2020
KARAD URBAN CO-OP BANK,20499,1186.630,32761,2878.050,January 2020
KARNATAKA BANK,530756,35099.210,1456316,65854.960,January 2020
KARNATAKA STATE CO-OP APEX BANK,72113,3502.580,94684,5408.280,January 2020
KARNATAKA VIKAS GRAMEEN BANK,80651,8835.770,206164,7605.110,January 2020
